epoch,dice_coef,hausdorff,iou,loss,lr,precision_4,val_dice_coef,val_hausdorff,val_iou,val_loss,val_precision_4
0,0.3696941137313843,47.299007415771484,0.23332354426383972,0.6302520632743835,0.001,0.3000302016735077,0.04739636555314064,187.9714813232422,0.02431083284318447,0.9526030421257019,0.02453145571053028
1,0.7244431972503662,32.51118850708008,0.5745260715484619,0.2755260467529297,0.001,0.6878415942192078,0.00038749739178456366,43.34511947631836,0.00019378623983357102,0.9996127486228943,0.0
2,0.8866485357284546,21.141584396362305,0.8046725392341614,0.11279856413602829,0.001,0.9178233742713928,0.004707666113972664,42.99671173095703,0.0023596310056746006,0.9952878355979919,0.0
3,0.9325215220451355,17.175874710083008,0.8759683966636658,0.06739230453968048,0.001,0.9454324245452881,0.9542676210403442,12.262409210205078,0.9133713841438293,0.04480357840657234,0.9845892190933228
4,0.9292140007019043,17.270748138427734,0.8726891279220581,0.07084859907627106,0.001,0.943071186542511,0.1246335357427597,41.32715606689453,0.06815212219953537,0.8752642869949341,0.9779880046844482
5,0.9360926747322083,16.56537437438965,0.882681667804718,0.06390643119812012,0.001,0.950102686882019,0.22358982264995575,39.653770446777344,0.12682533264160156,0.7764809727668762,0.998498260974884
6,0.9527504444122314,15.124431610107422,0.9109238386154175,0.04728059843182564,0.001,0.9583848118782043,0.08609583973884583,41.007057189941406,0.0456414595246315,0.913165807723999,0.9997043013572693
7,0.9518097043037415,13.973490715026855,0.9100739359855652,0.048254262655973434,0.001,0.9613965749740601,0.9332910180091858,17.229049682617188,0.8758993148803711,0.06672527641057968,0.9792490601539612
8,0.9363190531730652,16.6044921875,0.8844448924064636,0.06367418169975281,0.001,0.9473919868469238,0.43024444580078125,36.080867767333984,0.28093671798706055,0.5715354084968567,0.873371422290802
9,0.9488600492477417,16.029264450073242,0.9040593504905701,0.05121501907706261,0.000100000005,0.9586964249610901,0.935754120349884,16.05377197265625,0.8803585767745972,0.06358835101127625,0.9895762205123901
10,0.9610891938209534,13.473407745361328,0.9257756471633911,0.0389106385409832,0.000100000005,0.9682279229164124,0.9689372181892395,10.618971824645996,0.9399705529212952,0.03090515173971653,0.9869530200958252
11,0.9648407101631165,12.53903579711914,0.9324100613594055,0.035169024020433426,0.000100000005,0.9682294130325317,0.9612266421318054,12.73289966583252,0.9258926510810852,0.038274042308330536,0.9902437329292297
12,0.96558678150177,12.498303413391113,0.9337674975395203,0.03438336029648781,0.000100000005,0.9706762433052063,0.9571943283081055,14.006272315979004,0.9186059832572937,0.042869023978710175,0.9887268543243408
13,0.9658983945846558,12.13239574432373,0.9344918727874756,0.03409786894917488,0.000100000005,0.9714066982269287,0.9678114056587219,11.804768562316895,0.937811553478241,0.03218603879213333,0.9871928095817566
14,0.9669754505157471,11.931297302246094,0.9364808201789856,0.03304361179471016,0.000100000005,0.9700267910957336,0.9695940017700195,11.099528312683105,0.9412971138954163,0.030434010550379753,0.9862187504768372
15,0.9659958481788635,12.221551895141602,0.9349900484085083,0.03402324020862579,0.000100000005,0.9694852232933044,0.9763854742050171,9.58974838256836,0.9540134072303772,0.02361675165593624,0.9817172288894653
16,0.9681745171546936,11.282088279724121,0.9389283061027527,0.03184106573462486,0.000100000005,0.9721575975418091,0.9513403177261353,14.936330795288086,0.9079470634460449,0.04885190352797508,0.9899280071258545
17,0.9675490856170654,11.918975830078125,0.9375227689743042,0.03246716037392616,0.000100000005,0.9719469547271729,0.9780306816101074,9.34740161895752,0.9570747017860413,0.022011645138263702,0.9752183556556702
18,0.9685450196266174,11.3892822265625,0.939329206943512,0.03141165152192116,0.000100000005,0.9717196226119995,0.974436342716217,10.605514526367188,0.9502604603767395,0.025640619918704033,0.9814613461494446
19,0.9691382646560669,11.432881355285645,0.9403818249702454,0.03087018057703972,0.000100000005,0.9719693064689636,0.9671357870101929,12.287222862243652,0.9366765022277832,0.033038411289453506,0.9792429208755493
20,0.970629870891571,10.648219108581543,0.9430854320526123,0.029274700209498405,0.000100000005,0.9738737940788269,0.950553297996521,15.196112632751465,0.9068480134010315,0.04960157722234726,0.9891443252563477
21,0.9707366824150085,10.67447566986084,0.9432664513587952,0.029264060780405998,0.000100000005,0.9733757376670837,0.9762751460075378,9.91384220123291,0.9537611603736877,0.02366146259009838,0.984941840171814
22,0.969505250453949,11.493929862976074,0.9410266280174255,0.030504023656249046,0.000100000005,0.9723556637763977,0.9622140526771545,14.080106735229492,0.9278001189231873,0.0378708615899086,0.9873798489570618
23,0.9696389436721802,11.141133308410645,0.9413824081420898,0.030393492430448532,1.0000001e-05,0.9716936349868774,0.9771547317504883,9.386442184448242,0.955560564994812,0.022866586223244667,0.9771791696548462
24,0.9711735844612122,10.63693618774414,0.9440953135490417,0.028803449124097824,1.0000001e-05,0.9734265804290771,0.9777241349220276,9.277037620544434,0.9566807746887207,0.022341309115290642,0.9788970351219177
25,0.9707934260368347,11.069695472717285,0.9434444308280945,0.02921929396688938,1.0000001e-05,0.9744294881820679,0.9774696230888367,9.358003616333008,0.95611172914505,0.02242310903966427,0.979567289352417
26,0.9720674753189087,10.413983345031738,0.9457663297653198,0.027920976281166077,1.0000001e-05,0.973809003829956,0.9782283306121826,9.259162902832031,0.9574934244155884,0.021857544779777527,0.9809532165527344
27,0.9712545275688171,10.69050407409668,0.9442851543426514,0.028625164180994034,1.0000001e-05,0.9740852117538452,0.9775007367134094,9.57850170135498,0.9561320543289185,0.022488007321953773,0.9801629185676575
28,0.9710010886192322,10.665963172912598,0.9438759088516235,0.028738321736454964,1.0000001e-05,0.9740908741950989,0.978263258934021,9.318573951721191,0.9575627446174622,0.021779879927635193,0.9798889756202698
29,0.969775378704071,11.293316841125488,0.9416674971580505,0.030246829614043236,1.0000001e-05,0.9729120135307312,0.9782028198242188,9.493410110473633,0.9574223160743713,0.021824587136507034,0.9809879064559937
30,0.9722164869308472,10.546684265136719,0.9460605978965759,0.027632176876068115,1.0000001e-05,0.9750796556472778,0.977389395236969,9.489846229553223,0.955921471118927,0.022639339789748192,0.9816500544548035
31,0.9717626571655273,10.489432334899902,0.9452099204063416,0.028151635080575943,1.0000001e-05,0.9754106998443604,0.9781388640403748,9.238272666931152,0.957368016242981,0.021909432485699654,0.9794215559959412
32,0.9711116552352905,10.615201950073242,0.9440439343452454,0.02886004000902176,1.0000001e-06,0.9737960696220398,0.9776623249053955,9.313557624816895,0.9565476775169373,0.022291062399744987,0.979758083820343
33,0.970887303352356,10.91469955444336,0.9436217546463013,0.02911408059298992,1.0000001e-06,0.9729058742523193,0.9785254001617432,9.289209365844727,0.9580281376838684,0.02151394821703434,0.9796510934829712
34,0.9715728759765625,10.51998519897461,0.9449154734611511,0.02842641994357109,1.0000001e-06,0.9738410711288452,0.9787271022796631,9.345830917358398,0.9583908319473267,0.021325433626770973,0.9797859191894531
35,0.9721566438674927,10.462547302246094,0.9459660649299622,0.027806920930743217,1.0000001e-06,0.9745070338249207,0.9783152341842651,9.322529792785645,0.9576565623283386,0.021667852997779846,0.97970050573349
36,0.9725730419158936,10.40368366241455,0.9467077255249023,0.027419982478022575,1.0000001e-06,0.9741955399513245,0.9782103300094604,9.501208305358887,0.95743328332901,0.021779635921120644,0.9802094101905823
37,0.9715676307678223,10.482853889465332,0.9449107646942139,0.028400007635354996,1.0000001e-06,0.974370539188385,0.9777514934539795,9.357208251953125,0.956680178642273,0.0222680252045393,0.9801511168479919
38,0.9715603590011597,10.645524978637695,0.9448715448379517,0.028183607384562492,1.0000001e-06,0.9741358757019043,0.9774932861328125,9.300864219665527,0.9561370611190796,0.022491462528705597,0.9800839424133301
39,0.9717580676078796,10.358832359313965,0.9452671408653259,0.028195088729262352,1.0000001e-06,0.9751074910163879,0.9784883260726929,9.31897258758545,0.9579833745956421,0.021489476785063744,0.9798895716667175
40,0.9720436334609985,10.601325988769531,0.9457616209983826,0.027954941615462303,1.0000001e-07,0.9746677875518799,0.978300929069519,9.30819034576416,0.9576076865196228,0.021666642278432846,0.9798018932342529
41,0.971796452999115,10.511686325073242,0.9453155398368835,0.02800881676375866,1.0000001e-07,0.9743670225143433,0.9777933955192566,9.331592559814453,0.9566931128501892,0.022089868783950806,0.9799889922142029
42,0.9725497364997864,10.250115394592285,0.946674644947052,0.027439722791314125,1.0000001e-07,0.9756429195404053,0.978339672088623,9.438133239746094,0.9576971530914307,0.021673310548067093,0.9797425270080566
43,0.9705412983894348,11.00141716003418,0.9429931640625,0.029464591294527054,1.0000001e-07,0.974988579750061,0.9782151579856873,9.384161949157715,0.9574424624443054,0.021700304001569748,0.9798179864883423
44,0.9711548089981079,10.907659530639648,0.9441899657249451,0.028819510713219643,1.0000001e-07,0.9744538068771362,0.978356659412384,9.307649612426758,0.9577139616012573,0.021721327677369118,0.9799388647079468
45,0.9719592928886414,10.64738655090332,0.9455861449241638,0.02798713743686676,1e-07,0.9752643704414368,0.9785453677177429,9.444557189941406,0.9580702185630798,0.021497905254364014,0.9799373745918274
46,0.9720883965492249,10.569305419921875,0.9457952976226807,0.027913670986890793,1e-07,0.9741989970207214,0.9778881669044495,9.482234001159668,0.956886887550354,0.022206252440810204,0.9799145460128784
47,0.9711272120475769,10.958822250366211,0.9441133737564087,0.028888951987028122,1e-07,0.9734328389167786,0.9786746501922607,9.450090408325195,0.9583095908164978,0.02135241962969303,0.9800612926483154
48,0.9708903431892395,10.72957992553711,0.943665623664856,0.029081977903842926,1e-07,0.9731684327125549,0.9780718684196472,9.422612190246582,0.9572204947471619,0.021950770169496536,0.9795241355895996
49,0.9719361066818237,10.443276405334473,0.9455576539039612,0.028080588206648827,1e-07,0.9743250608444214,0.9785757660865784,9.349760055541992,0.9581298828125,0.021447710692882538,0.9799022674560547
50,0.9718822836875916,10.639593124389648,0.945445716381073,0.028113478794693947,1e-07,0.9743093848228455,0.9778375625610352,9.607802391052246,0.9567675590515137,0.022225702181458473,0.9798503518104553
